ɔ n ɪ ɛ	ɔ n ʊ s
s aː t iː r iː k ʊ m	s a t ɪ r ɪ k ʊ m
ɛ k k s t iː ŋ gʷ ɛ r ɛ	ɛ k s t ɪ ŋ gʷ ɛ r ɛ
m ɛ n aː k a m	m ɪ n aː k ɛ m
a b aː t j a m	a bː aː t j a m
k a p l ʊ m	k a p ʊ l ʊ m
k ɛ s aː t j oː n ɛ m	k ɛ sː aː t j oː n ɛ m
aʊ t g uː r ɛ m	aʊ g ʊ r ɛ m
k aː r ɔ t a m	k a r oː t a m
l aː k r ɪ m a m	l a k r ɪ m a m
ɪ n d iː ŋ n aː r ɛ	ɪ n d ɪ ŋ n aː r iː
d ɛ s uː m ɪ r ɛ	d eː s uː m ɛ r ɛ
r aː s ɛ n aː r ɛ	r ɛ s ɪ ŋ n aː r ɛ
t ɛ m p ɛ r aː r ɛ	t ɛ m p ɛ r aː r ɛ
p l a ŋ g ɛ r ɛ	p l a ŋ g ɛ r ɛ
f ɛ m ɪ l a m	f eː m ɛ lː a m
f ʊ n d iː b uː lː ʊ m	f ʊ n d ɪ b ʊ l ʊ m
p r ɪ s aː r ɛ	p r ɛ t j aː r ɛ
m a lː ɛ d iː k t j oː n ɛ m	m a l ɛ d ɪ k t j oː n ɛ m
w ɛ l a m	w eː l ʊ m
b iː l ɛ m	b iː l ɛ m
k ʊ w aː r ɛ	k ʊ b aː r ɛ
p aː r t iː k ʊ l aː r ɛ	p a r t ɪ k ʊ l aː r ɛ m
a b r ɔ g aː r ɛ	a b r ɔ g aː r ɛ
aʊ t ɔ r iː t aː t ɛ m	aʊ k t oː r ɪ t aː t ɛ m
a pː a r ɪ r ɛ	a pː aː r eː r ɛ
k a m aː r a m	k a m a r a m
k ɔ m p l aː k ɛ r ɛ	k ɔ m p l a k eː r ɛ
a pː r ɛ h ɛ n s j oː n ɛ m	a pː r ɛ h ɛ n s j oː n ɛ m
ɛ k s ɔ r t aː r ɛ	ɛ k s h ɔ r t aː r iː
s k uː d ɪ ɛ r ʊ m	s k uː t aː r j ʊ m
a w ɪ ʊ m	a w ɛ m
t uː	t uː
kʷ aː l iː t aː t ɛ m	kʷ aː l ɪ t aː t ɛ m
ɪ m p aː r ɛ	ɪ m p a r ɛ m
t iː t ʊ l aː r ɛ	t ɪ t ʊ l aː r ɛ m
k ɔ m p l iː k aː t j oː n ɛ	k ɔ m p l ɪ k aː t j oː n ɛ m
d ɔ m ɪ n iː k aː l ɛ	d ɔ m ɪ n ɪ k aː l ɛ m
k ɔ n k ɛ d ɛ r ɛ	k ɔ ŋ k eː d ɛ r ɛ
p a t ɪ k ɛ r ɛ	p a t iː
k aː r p ɛ n t ʊ m	k a r p ɛ n t ʊ m
n ʊ m ɛ r aː r ɛ	n ʊ m ɛ r aː r ɛ
f oː k a m	pʰ oː k a m
p r ɔ s k r ɪ w ɛ r ɛ	p r oː s k r iː b ɛ r ɛ
k r ɛ t a m	k r eː t a m
l ɛ t iː k a m	l ɛ k t iː k a m
a d uː l t ɛ r aː r ɛ	a d ʊ l t ɛ r aː r ɛ
b r uː k ʊ m	b r uː kʰ ʊ m
p aː r ʊ m	p a r ɛ m
p a lː p iː t aː t j oː n ɛ m	p a l p ɪ t aː t j oː n ɛ m
n ɔ w iː l uː n j ʊ m	n ɔ w ɪ l uː n j ʊ m
g r aː k iː l ɛ	g r a k ɪ l ɛ m
d ɛ n t a l ɛ	d ɛ n t aː l ɛ m
ɪ n f l iː k t j oː n ɛ m	ɪ n f l ɪ k t j oː n ɛ m
a m p r iː r ɛ	a p ɛ r iː r ɛ
s ɔ p t ʊ ʊ s ʊ m	s ʊ m p t ʊ oː s ʊ m
ɪ n w iː k t ʊ m	ɪ n w ɪ k t ʊ m
d ɪ w ɛ r ɛ	d eː b eː r ɛ
t ɛ t r iː k ʊ m	t aɪ t r ɪ k ʊ m
l aʊ d ɛ m	l aʊ d ɛ m
r ɛ k t a ŋ g ʊ l ʊ m	r ɛ k t a ŋ g ʊ l ʊ m
a kː uː m uː l aː t j oː n ɛ m	a kː ʊ m ʊ l aː t j oː n ɛ m
p aː t r j aː r k aː t ʊ m	p a t r j a r kʰ a t ʊ m
g l ɔ r j aː r ɛ	g l oː r j aː r iː
ɔ l iː g aː r k iː k ʊ m	ɔ l ɪ g a r kʰ ɪ k ʊ m
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
p ɛ r g ʊ l ɛ m	p ɛ r g ʊ l a m
s iː n ʊ m	s ʊ iː n ʊ m
s t aː p ɛ d ɛ m	s t a p ɛ d ɛ m
w ɛ r s iː f ɪ k aː r ɛ	w ɛ r s ɪ f ɪ k aː r ɛ
s a l uː t aː t j oː n ɛ	s a l uː t aː t j oː n ɛ m
w ɛ r ɪ t aː t ɛ m	w eː r ɪ t aː t ɛ m
n f ʊ lː ɛ k aː r ɛ	f ɔ lː ɪ k aː r ɛ
s k ɔ t j a m	s k ɔ t j a m
d j aː l ɛ k t ʊ m	d j a l ɛ k t ɔ n
ɪ ŋ n ɔ r aː r ɛ	ɪ ŋ n oː r aː r ɛ
l uː m iː n oː s ʊ m	l uː m ɪ n oː s ʊ m
p r ɛ s t aː t j oː n ɛ m	p r aɪ s t aː t j oː n ɛ m
s k r ɔ f a m	s k r oː f a m
s iː d ɛ r ɛ ʊ m	s iː d ɛ r ɛu m
s k aː b j ɛ m	s k a b ɪ ɛ m
s aː t uː r aː r ɛ	s a t ʊ r aː r ɛ
p iː p aː r ɛ	p iː p aː r ɛ
w ɪ t ɛ lː ʊ m	w ɪ t ɛ lː ʊ m
k ɔ n t uː m ɛ l j a m	k ɔ n t ʊ m eː l j a m
ʊ r iː n a m	uː r iː n a m
k j ɛ n ʊ m	k aɪ n ʊ m
b a l b ʊ t j a r ɛ	b a l b uː t iː r ɛ
ɔ r iː zː ɔ n t ɛ m	h ɔ r ɪ zː ɔ n t a
w ɛ n uː s t ʊ m	w ɛ n ʊ s t ʊ m
a p ɛ lː iː d aː r ɛ	a pː ɛ lː ɪ t aː r ɛ
t oː r n l ʊ m	t ɔ r n ʊ m
p r ɛ s t a n t j a m	p r aɪ s t a n t j a m
s ɛ n s ʊ m	s eː n s ʊ m
ɪ n b ɛ r n a l ɛ	h iː b ɛ r n aː l ɛ m
s ʊ b s t iː t uː t j oː n ɛ m	s ʊ b s t ɪ t uː t j oː n ɛ m
t aː l ʊ t ɛ m	t aː l ʊ m
ɔ b t ɛ m p ɛ r aː r ɛ	ɔ b t ɛ m p ɛ r aː r ɛ
k ɔ m p ɛ t ɛ n t j a m	k ɔ m p ɛ t ɛ n t j a m
a b s k iː s a m	a b s k ɪ n d ɛ r ɛ
eː n ɛ r w aː r ɛ	eː n ɛ r w aː r ɛ
a n d aː l ɛ	a m b ʊ l aː r ɛ
n a t aː l ɛ	n aː t aː l ɛ m
p r iː n k iː p aː l iː t aː t ɛ m	p r ɪ ŋ k ɪ p aː l ɪ t aː t ɛ m
s p ɛ l t a m	s p ɛ l t a m
d iː s ɛ r t ʊ m	d ɪ s ɛ r t ʊ m
k ɛ n t a r ɛ	kʷ ɪ eː t aː r ɛ
s a l ɪ k ɛ t ʊ m	s a l ɪ k eː t ʊ m
s ɪ m p l ɪ k ɛ m	s ɪ m p l ɪ k ɛ m
p uː r y n ʊ m	p uː r ɛ m
ɪ n ʊ m	iː n ʊ m
a b s t ɛ r g ɛ r ɛ	a b s t ɛ r g eː r ɛ
w a s ɛ lː ʊ m	w aː s k ɛ lː ʊ m
d ɔ k t oː r ɛ	d ɔ k t oː r ɛ m
k aː l aː m iː t aː t ɛ m	k a l a m ɪ t aː t ɛ m
a m a r eː sː aː r ɛ	a m aː r ɪ k aː r ɛ
w ɔ p ʊ m	ɔ p ʊ s
d ɪ s p ɛ r s ɛ r ɛ	d ɪ s p ɛ r g ɛ r ɛ
a b ɪ l ɛ m	aː b ɪ l ɛ m
eː d iː lː iː d aː d ɛ m	aɪ d iː l ɪ t aː t ɛ m
m iː l ɛ m	m iː lː j a
t ɔ r kʷ ɛ r ɛ	t ɔ r kʷ eː r ɛ
r aː s t r ɛ lː ʊ m	r aː s t ɛ lː ʊ m
a d w ɛ r b j ɪ a l ɛ	a d w ɛ r b j aː l ɛ m
ɪ n t ɛ m p ɛ s t iː w ʊ m	ɪ n t ɛ m p ɛ s t iː w ʊ m
ɪ n t ɛ lː ɛ k t ʊ m	ɪ n t ɛ lː eː k t ʊ m
p a s t a m	p a s t a m
a s ɛ r iː r ɛ	a sː ɛ r ɛ r ɛ
a r uː t a m	r uː t a m
w ɛ t uː l ʊ m	w ɪ t ʊ l ʊ m
ʊ ŋ g ɛ r ɛ	ʊ ŋ g ɛ r ɛ
k ɔ s t aː t ʊ m	k ɔ s t aː t ʊ m
s k iː n d ɛ r ɛ	s k ɪ n d ɛ r ɛ
ɪ n s iː ŋ n ɛ m	iː n s ɪ ŋ n ɛ m
p ʊ r p ʊ r a m	p ʊ r p ʊ r a m
ɪ rː iː t aː r ɛ	ɪ rː iː t aː r ɛ
t aː s ʊ m	t a k s ʊ m
d ɛ n ɔ m ɪ n aː r ɛ	d eː n oː m ɪ n aː r ɛ
k ɔ r t ɛ m	k oː r t ɛ m
l aː d r iː l ʊ m	l a t ɛ r k ʊ l ʊ m
a r aː t r ʊ m	a r aː t r ʊ m
m uː l ʊ m	m uː l ʊ m
t r aː l a m	t r aː g ʊ l a m
f r aː k s iː n ɛ ʊ m	f r a k s ɪ n ɛu m
p ɛ r iː k l iː t aː r ɛ	p ɛ r iː k l ɪ t aː r iː
r j ɛ aː iː r ɛ	r ɛ a g eː r ɛ
p r ɛ d aː r ɛ	p r aɪ d aː r iː
d ʊ n ʊ m	d oː n ʊ m
k ɔ m p ɛ lː ɛ r ɛ	k ɔ m p ɛ lː ɛ r ɛ
m ɔ s t r aː r ɛ	m oː n s t r aː r ɛ
p r ɛ t ɛ r n aː t uː r aː l ɛ	p r aɪ t ɛ r n aː t uː r aː l ɛ m
k ɛ l ɛ s t j a l ɛ	k aɪ l ɛ s t j aː l ɛ m
k ɔ n s ɛ n t iː r ɛ	k oː n s ɛ n t iː r ɛ
k ɛ r eː m ɔ n j aː l ɛ	k aɪ r ɪ m oː n j aː l ɛ m
s ɔ n ɪ k ʊ l ɔ s ʊ m	s ɔ m n ɪ k ʊ l oː s ʊ m
ɪ n f iː r m aː r ɛ	iː n f ɪ r m aː r ɛ
a b lː aː k t aː r ɛ	a b l a k t aː r ɛ
k r ɪ b l ʊ m	k r iː b r ʊ m
k ʊ k iː n a m	k ɔ kʷ iː n a m
l uː k j ʊ m	l uː k j ʊ m
ɛ k s p uː r g aː r ɛ	ɛ k s p ʊ r g aː r ɛ
a m	a sː ɛ m
ɔ t r ɛ m	ʊ t r ʊ m
a n ɛ k aː r ɛ	n ɛ k aː r ɛ
p j ɛ l ɪ g a m	p ɛ d ɪ k a m
k ɔ n t ɛ n t j oː n ɛ m	k ɔ n t ɛ n t j oː n ɛ m
h ɔ s t j a m	h ɔ s t j a m
t r ʊ ɛ n ɪ t ʊ	t ɔ n ɪ t r ʊ m
a rː ɔ g aː r ɛ	a rː ɔ g aː r ɛ
f ɔ r ɛ aː r ɛ	f ɔ r aː r ɛ
p l aː k iː d ʊ m	p l a k ɪ d ʊ m
w aː r j ɪ ɛ t aː t ɛ m	w a r ɪ ɛ t aː t ɛ m
eː b r iː ɛ t aː t ɛ m	eː b r ɪ ɛ t aː t ɛ m
f ɪ n a m	f aː g ɪ n ʊ m
a n ɛ m ɔ n ɛ	a n ɛ m oː n eː n
eː m a n k iː p aː t j oː n ɛ m	eː m a ŋ k ɪ p aː t j oː n ɛ m
ɛ k s uː l r ɛ	ɛ k s ʊ l t aː r ɛ
r uː g a m	r uː g a m
ɪ n s aː n ʊ m	iː n s aː n ʊ m
k a n d ɛ l aː b r ʊ m	k a n d eː l aː b r ʊ m
b aː s ɛ m	b a s ɛ m
k aː pː l ʊ m	k a p ʊ l ʊ m
f ɛ l iː k ɛ	f eː l iː k ɛ m
t r aː t aː t ʊ m	t r a k t aː t ʊ m
a w ɛ n iː r ɛ	a d w ɛ n iː r ɛ
l ʊ k aː r ɛ	l ɔ k aː r ɛ
f ɪ m b r j aː t ʊ m	f ɪ m b r j aː t ʊ m
ɛ s t ɪ ʊ m	aɪ s t iː w ʊ m
a l aː b a s t r ʊ m	a l a b a s t r ʊ m
ɛ k s aː l aː r ɛ	ɛ k s h aː l aː r ɛ
w ɛ lː ʊ m	w ɪ lː ʊ m
ɛ r ɛ d ɛ	h eː r eː d ɛ m
ɪ n s ɔ n t ɛ m	iː n s ɔ n t ɛ m
r ɛ s t iː t uː ɪ r ɛ	r ɛ s t ɪ t ʊ ɛ r ɛ
d iː s t iː n k t ʊ m	d ɪ s t ɪ ŋ k t ʊ m
p aː l ɛ s t r a m	p a l aɪ s t r a m
f ʊ n t ɛ m	f ɔ n t ɛ m
t ʊ r p ɛ d ʊ m	t ɔ r p eː d ɪ n ɛ m
kʷ aː d r ʊ m	kʷ aː d r ʊ m
r aː lː ʊ m	r a lː ʊ m
a k k ɛ p t aː r ɛ	a kː ɪ p ɛ r ɛ
m aː t r iː t iː d a m	m aː t r ɪ k iː d a m
j aː d ɛ m	iː l ɛ
ɪ m b ɪ b aɪ r ɛ	ɪ m b ɪ b ɛ r ɛ
k ɔ n k uː s j ɔ m	k ɔ ŋ k ʊ sː j oː n ɛ m
a b ɔ m aː s ʊ m	a b ɔ m aː s ʊ m
ɔ d oː r ɛ	ɔ d oː r ɛ m
p r ɔ d iː g j ʊ j ʊ m	p r oː d ɪ g j oː s ʊ m
ɔ fː iː k ʊ s j ʊ m	ɔ fː ɪ k j oː s ʊ m
ɪ ŋ g ɛ n j oː s ʊ m	ɪ ŋ g ɛ n j oː s ʊ m
t eː n ɛ r ɛ	t ɛ n eː r ɛ
f aː rː aː ɪ n ɛ	f a rː aː g ɪ n ɛ m
k uː r w aː r ɛ	k ʊ r w aː r ɛ
a m ɛ n ʊ m	a m ɔ ɪ n ʊ m
ɪ n k lː ʊ ɪ r ɛ	ɪ ŋ k l uː d ɛ r ɛ
k aː l k eː	k a l k ɛ m
s aː r k iː n a m	s a r k ɪ n a m
ʊ m b r oː s ʊ m	ʊ m b r oː s ʊ m
k ɔ n w iː k t j oː n ɛ	k ɔ n w iː k t j oː n ɛ m
t ʊ r m a m	t ʊ r m a m
w iː p ɛ r ɪ n ʊ m	w ɪ p ɛ r iː n ʊ m
f ɔ k ɛ	f aʊ k ɛ m
d ɔ r aː r ɛ	d ɛ aʊ r aː r ɛ
a t lː aː n t iː k ʊ m	aː t l a n t ɪ k ʊ m
ɪ m p ɛ r t ɛ p t iː b lː ɛ m	ɪ m p ɛ r k ɛ p t ɪ b ɪ l ɛ m
p aː r t iː k ʊ l a m	p a r t ɪ k ʊ l a m
d aː t a m	d a t a
t r iː t uː r a m	t r iː t uː r a m
ɛ lː iː p s ʊ m	ɛ lː iː p s ɪ n
r eː t ɛ n ɛ r ɛ	r ɛ t ɪ n eː r ɛ
k aː w aː l ɛ r ɛ m	k a b a lː aː r j ʊ m
d ɛ m oː n iː k ʊ m	d aɪ m ɔ n ɪ k ʊ m
aː k ʊ m	ɛ kː ʊ m
l ɛ g ɛ	l eː g ɛ m
k ʊ n k a m	k ɔ ŋ kʰ a m
s ʊ b s t aː n t a m	s ʊ b s t a n t j a m
n ɛ f aː s t ʊ m	n ɛ f aː s t ʊ m
s ɪ t ɪ lː aː r ɛ	s ɪ g ɪ lː aː r ɛ
a s kʷ ɔ k ɛ r ɛ	ɛ k s k ɔ kʷ ɛ r ɛ
ɔ r b ɪ t ɛ	ɔ r b ɛ m
f lː ɔ s k uː lː ʊ m	f l ɔ s k ʊ l ʊ m
s k r iː b a m	s k r iː b a m
g ɛ ɔ m ɛ t r j a m	g ɛ oː m ɛ t r j a m
t r a n s iː t ʊ m	t r aː n s ɪ t ʊ m
l aː k t ɛ ʊ m	l a k t ɛu m
l ɛ n aː r ɛ	l ɪ ŋ n aː r iː
d r aː pː ɛ l ʊ m	d r a pː ʊ m
l aː n k aː r ɛ	l a ŋ k ɛ aː r ɛ
p ɔ r t j ɔ m	p ɔ r t j oː n ɛ m
s ʊ s p ɛ n d ɛ r ɛ	s ʊ s p ɛ n d ɛ r ɛ
m ɔ n d aː r ɛ	m ʊ n d aː r ɛ
t r aː m a m	t r aː m a m
s t uː p ɪ r ɛ	s t ʊ p eː r ɛ
k ɔ n f iː n ɛ	k ɔ n f iː n ɛ m
w j ɔ ʊ l aː r ɛ	w ɪ ɔ l aː r ɛ
k ɔ k ʊ m ɛ r ʊ m	k ʊ k ʊ m ɛ r ɛ m
l uː n aː r ɛ	l uː n aː r ɛ m
eː s k uː l eː n t ʊ m	eː s k ʊ l ɛ n t ʊ m
k r ʊ k iː f ɛ r ʊ m	k r ʊ k ɪ f ɛ r ʊ m
g ɛ r ɛ r ɛ	g ɛ r ɛ r ɛ
f aː k ʊ n d ʊ m	f aː k ʊ n d ʊ m
k iː r k ʊ n s k r iː w ɛ r ɛ	k ɪ r k ʊ m s k r iː b ɛ r ɛ
t r a n s iː r ɛ	t r aː n s iː r ɛ
ʊ s t ʊ l aː r ɛ	ʊ s t ʊ l aː r ɛ
w ɛ s t r uː t j ʊ m	s t r uː tʰ j oː n ɛ m
w iː t uː p ɛ r aː t j ʊ n ɛ	w ɪ t ʊ p ɛ r aː t j oː n ɛ m
ɪ n s ɛ r t j oː n ɛ m	iː n s ɛ r t j oː n ɛ m
p r ɔ w ɔ k aː t iː w ʊ m	p r oː w ɔ k aː t iː w ʊ m
s t ʊ pː a m	s t ʊ pː a m
a d iː t j oː n ɛ	a dː ɪ t j oː n ɛ m
p ɔ s aː r ɛ	p aʊ s aː r ɛ
a m b iː kʷ ɪ t aː t ɛ m	a m b ɪ gʷ ɪ t aː t ɛ m
a t r aː ɛu r ɛ	a tː r a h ɛ r ɛ
ɪ ŋ n ɛ ʊ m	ɪ ŋ n ɛu m
p n ɛ r s ɪ k a m	p ɛ r s ɪ k a m
b ɛ l aː r ɛ	b aː l aː r ɛ
m aː l ɪ ŋ n ʊ m	m a l ɪ ŋ n ʊ m
b ʊ rː a m	b ʊ rː a m
p r ɔ b ʊ m	p r ɔ b ʊ m
w ɛ t r iː k ɛ	w iː t ɪ k ɛ m
p ɛ n iː t ɛ n t j aː l ɛ m	p aɪ n ɪ t ɛ n t j aː l ɛ m
s t iː w aː r ɛ	s t iː p aː r ɛ
f aː r ɛ t r a m	pʰ a r ɛ t r a m
f ɔ r m ɛ m	f oː r m ɛ m
a g iː t aː d ɔ r ɛ	a g ɪ t aː t oː r ɛ m
ɔ r n aː t ʊ m	oː r n aː t ʊ m
k s k uː s aː t j ɔ n ɛ	ɛ k s k uː s aː t j oː n ɛ m
k uː l p aː r ɛ	k ʊ l p aː r ɛ
eː l ɛ f a n t ɪ n ʊ m	ɛ l ɛ pʰ a n t ɪ n ʊ m
ɪ rː ɛ g ʊ l aː r ɛ	ɪ rː eː g ʊ l aː r ɛ m
s ɔ r ɪ k ɛ m	s oː r ɪ k ɛ m
s ʊ b ɔ r n aː r ɛ	s ʊ b oː r n aː r ɛ
s p ɛ r aː r ɛ	s p eː r aː r ɛ
r ɛ l ɛ w aː r ɛ	r ɛ l ɛ w aː r ɛ
ɔ n ɔ r aː r j ʊ m	h ɔ n oː r aː r j ʊ m
d iː s ɔ n aː r ɛ	d ɪ sː ɔ n aː r ɛ
uː m ɪ d ʊ m	h uː m ɪ d ʊ m
ɪ n f ɔ r m ɛ m	iː n f oː r m ɛ m
m aː r iː t a l ɛ	m a r iː t aː l ɛ m
w ɛ r t iː t ɛ m	w ɛ r t ɪ k ɛ m
w ɛ t ɪ m ɛ n t ʊ m	w ɛ s t iː m ɛ n t ʊ m
b oː ɪ r ʊ m	b uː t y r ʊ m
s aː n j ɛ m	s a n ɪ ɛ m
h ɪ k ɛ	kʷ ɛ m
g uː r iː s p r uː d ɛ n t a m	j uː r ɪ s p r uː d ɛ n t j a m
w ɛ k s aː r ɛ	w eː k s aː r ɛ
aɪ w ʊ m	aɪ w ʊ m
a b iː g ɛ ʊ m	a b ɪ g ɛu m
k ɛ l iː b ɛ m	k aɪ l ɪ b ɛ m
ɪ n k aː r n aː r ɛ	ɪ ŋ k a r n aː r ɛ
m ɛ n d iː k ʊ m	m ɛ n d iː k ʊ m
p r ɔ f ɛ r ɪ r ɛ	p r oː f ɛ rː ɛ
m ɛ m b r aː n oː s ʊ m	m ɛ m b r aː n ɛu m
ɪ n s t aʊ r aː r ɛ	iː n s t aʊ r aː r ɛ
h oː r k ʊ m	ɔ r k ʊ m
f ɛ rː aː t ʊ m	f ɛ rː aː t ʊ m
s uː b iː r ɛ	s ʊ b iː r ɛ
s ɛ s ʊ m	s ɛ sː ʊ m
l aː b ɔ r aː t oː r j ʊ m	l a b oː r aː t oː r j ʊ m
t a l p ɛ m a m	t a l p a m
iː m ɪ k ɛ m	k iː m ɪ k ɛ m
ɪ n d ʊ l ɛ m	ɪ n d ɔ l ɛ m
k r ɪ b r aː r ɛ	k r iː b r aː r ɛ
ɪ n t ɛ r w ɛ n t j oː n ɛ m	ɪ n t ɛ r w ɛ n t j oː n ɛ m
