ɔ n ɪ ɛ	ɔ n ʊ s
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
p aɪ r g ʊ l ɛ m	p ɛ r g ʊ l a m
s uː k iː n ʊ m	s ʊ iː n ʊ m
ɛ s t a p ɛ d ɛ	s t a p ɛ d ɛ m
w ɛ r s ɪ f ɪ k aː r ɛ	w ɛ r s ɪ f ɪ k aː r ɛ
s a l uː t a t j oː n ɛ	s a l uː t aː t j oː n ɛ m
w ɛ r t aː t ɛ m	w eː r ɪ t aː t ɛ m
m f ʊ l m k aː r	f ɔ lː ɪ k aː r ɛ
s k ɔ t j a m	s k ɔ t j a m
d j a l ɛ k t ʊ m	d j a l ɛ k t ɔ n
ɪ ŋ n ɔ r aː r ɛ	ɪ ŋ n oː r aː r ɛ
l uː m ɪ n oː s ʊ m	l uː m ɪ n oː s ʊ m
p r ɛ s t a t j ʊ m n ɛ m	p r aɪ s t aː t j oː n ɛ m
s k r ɔ f a m	s k r oː f a m
s ɪ d ɛ r ɛ ʊ m	s iː d ɛ r ɛu m
s k a b ɛ m	s k a b ɪ ɛ m
s a t uː r aː r ɛ	s a t ʊ r aː r ɛ
p ɪ p aː r ɛ	p iː p aː r ɛ
w ɪ t ɛ lː ʊ m	w ɪ t ɛ lː ʊ m
k ʊ n t uː m ɛ l j a m	k ɔ n t ʊ m eː l j a m
ʊ r ɪ n a m	uː r iː n a m
k ɛ n ʊ m	k aɪ n ʊ m
b a l b uː t a r ɛ	b a l b uː t iː r ɛ
ɔ r ɪ zː ɔ n t ɛ m	h ɔ r ɪ zː ɔ n t a
w ɛ n uː s t ʊ m	w ɛ n ʊ s t ʊ m
a p ɛ lː ɪ d aː r	a pː ɛ lː ɪ t aː r ɛ
t oː r n ʊ m	t ɔ r n ʊ m
p r ɛ s t a n t j a m	p r aɪ s t a n t j a m
s ɛ n s ʊ m	s eː n s ʊ m
ɪ m b ɛ r n a l ɛ	h iː b ɛ r n aː l ɛ m
s ʊ b s t ɪ t uː t j ʊ m n ɛ m	s ʊ b s t ɪ t uː t j oː n ɛ m
t a l ʊ t ɛ m	t aː l ʊ m
ɔ b t ɛ m p ɛ r aː r ɛ	ɔ b t ɛ m p ɛ r aː r ɛ
k ɔ m p ɛ t ɛ n t j a m	k ɔ m p ɛ t ɛ n t j a m
a b s t ɪ s a	a b s k ɪ n d ɛ r ɛ
ɛ n ɛ r w aː r ɛ	eː n ɛ r w aː r ɛ
a n d aː l ɛ	a m b ʊ l aː r ɛ
n a t aː l ɛ	n aː t aː l ɛ m
p r iː n k ɪ p a l ɪ t aː t ɛ m	p r ɪ ŋ k ɪ p aː l ɪ t aː t ɛ m
ɛ s p ɛ l t a m	s p ɛ l t a m
d ɪ s ɛ r t ʊ m	d ɪ s ɛ r t ʊ m
k ɛ m t aː ɛ	kʷ ɪ eː t aː r ɛ
s a l ɪ k ɛ t ʊ m	s a l ɪ k eː t ʊ m
s ɪ m p l ɪ k ɛ m	s ɪ m p l ɪ k ɛ m
p uː r y n ʊ m	p uː r ɛ m
ɪ n ʊ m	iː n ʊ m
a b s t ɛ r g ɛ r ɛ	a b s t ɛ r g eː r ɛ
w a s ɛ lː ʊ m	w aː s k ɛ lː ʊ m
d ɔ k t oː r ɛ	d ɔ k t oː r ɛ m
k a l a m ɪ t aː t ɛ m	k a l a m ɪ t aː t ɛ m
a m a r eː sː a r ɛ	a m aː r ɪ k aː r ɛ
ʊ ɔ p ʊ m m	ɔ p ʊ s
d ɪ s p ɛ r s ɛ r ɛ	d ɪ s p ɛ r g ɛ r ɛ
aː b ɪ l ɛ	aː b ɪ l ɛ m
ɛ d ɪ lː ɪ d aː d ɛ m	aɪ d iː l ɪ t aː t ɛ m
m ɪ l a m	m iː lː j a
t ɔ r kʷ ɛ r ɛ m	t ɔ r kʷ eː r ɛ
r a s t r ɛ lː ʊ m	r aː s t ɛ lː ʊ m
a d w ɛ r b j ɪ a l ɛ	a d w ɛ r b j aː l ɛ m
iː m t ɛ m p ɛ s t ɪ w ʊ m	ɪ n t ɛ m p ɛ s t iː w ʊ m
ɪ n t ɛ lː ɛ k t ʊ m	ɪ n t ɛ lː eː k t ʊ m
p aː s t a m	p a s t a m
a s ɛ r ɪ r ɛ	a sː ɛ r ɛ r ɛ
ɛ r uː t a m	r uː t a m
w ɪ t uː l ʊ	w ɪ t ʊ l ʊ m
ʊ ŋ g ɛ r ɛ m	ʊ ŋ g ɛ r ɛ
k ɔ s t aː t ʊ m	k ɔ s t aː t ʊ m
ɛ s t iː n d ɛ r ɛ	s k ɪ n d ɛ r ɛ
iː n s ɪ ŋ n ɛ m	iː n s ɪ ŋ n ɛ m
p ʊ r p ʊ r a m	p ʊ r p ʊ r a m
ɪ rː ɪ t aː r	ɪ rː iː t aː r ɛ
t aː s ʊ m m	t a k s ʊ m
d ɛ n ɔ m ɪ n aː r ɛ	d eː n oː m ɪ n aː r ɛ
k ɔ r t ɛ m	k oː r t ɛ m
lː a d r ɪ l ʊ m	l a t ɛ r k ʊ l ʊ m
a r aː t ʊ m	a r aː t r ʊ m
m uː l ʊ m	m uː l ʊ m
t r aː j lː a m	t r aː g ʊ l a m
f r a k s ɪ n ɛ ʊ m	f r a k s ɪ n ɛu m
p ɛ r ɪ k l ɪ t aː r ɛ	p ɛ r iː k l ɪ t aː r iː
r j ɛ aː g ɪ r	r ɛ a g eː r ɛ
p r ɛ aː r ɛ	p r aɪ d aː r iː
d ʊ n ʊ m	d oː n ʊ m
k ʊ m p ɛ lː ɛ r	k ɔ m p ɛ lː ɛ r ɛ
m ɔ s t r aː r ɛ	m oː n s t r aː r ɛ
p r ɛ t ɛ r n a t uː r a l ɛ	p r aɪ t ɛ r n aː t uː r aː l ɛ m
k ɛ l ɛ s t j a l ɛ	k aɪ l ɛ s t j aː l ɛ m
k ɔ n s ɛ n t iː r ɛ	k oː n s ɛ n t iː r ɛ
k ɛ r eː m ɔ n j a l ɛ	k aɪ r ɪ m oː n j aː l ɛ m
s ʊ n ɪ k ʊ l ɔ s ʊ m	s ɔ m n ɪ k ʊ l oː s ʊ m
iː n f ɪ r m r ɛ	iː n f ɪ r m aː r ɛ
a b lː a m t aː r	a b l a k t aː r ɛ
k r ɪ b m ʊ m	k r iː b r ʊ m
k ʊ k ɪ n a m	k ɔ kʷ iː n a m
l uː k j ʊ m	l uː k j ʊ m
k s p uː r g aː r ɛ	ɛ k s p ʊ r g aː r ɛ
aː s	a sː ɛ m
ɔ t r ɛ m	ʊ t r ʊ m
a n ɛ k aː r ɛ	n ɛ k aː r ɛ
p j ɛ m ɪ k a m	p ɛ d ɪ k a m
k ɔ n t ɛ n t j oː n ɛ m	k ɔ n t ɛ n t j oː n ɛ m
h ɔ s t j a m	h ɔ s t j a m
ɛ m t r ɛ ʊ ɛ n ɛ m t ʊ m m	t ɔ n ɪ t r ʊ m
a rː ɔ g aː r ɛ	a rː ɔ g aː r ɛ
f ɔ r m aː r ɛ	f ɔ r aː r ɛ
p l aː k ɪ d ʊ m	p l a k ɪ d ʊ m
w a r j ɪ ɛ t aː t ɛ m	w a r ɪ ɛ t aː t ɛ m
ɛ b r ɪ ɛ t aː t ɛ m	eː b r ɪ ɛ t aː t ɛ m
f aː ɪ n a m	f aː g ɪ n ʊ m
a n ɛ m ɔ n ɛ	a n ɛ m oː n eː n
ɛ m a n k ɪ p a t j ʊ m n ɛ m	eː m a ŋ k ɪ p aː t j oː n ɛ m
ɛ k s uː l ɛ	ɛ k s ʊ l t aː r ɛ
r uː g a m	r uː g a m
iː n s a n ʊ m	iː n s aː n ʊ m
k a n d ɛ l aː b r ʊ m	k a n d eː l aː b r ʊ m
b a s ɛ m	b a s ɛ m
k aː p l ʊ m	k a p ʊ l ʊ m
f ɛ l ɪ k ɛ m	f eː l iː k ɛ m
t r a t aː t ʊ m	t r a k t aː t ʊ m
a w ɛ n ɪ r ɛ	a d w ɛ n iː r ɛ
l oː k aː r ɛ	l ɔ k aː r ɛ
f m ɪ m b r j aː t ʊ m	f ɪ m b r j aː t ʊ m
ɛ s t ɪ ʊ m m	aɪ s t iː w ʊ m
a l a b aː s t r ʊ m	a l a b a s t r ʊ m
ɛ k s a l aː r ɛ	ɛ k s h aː l aː r ɛ
w ɛ lː ʊ m	w ɪ lː ʊ m
a r ɛ d ɛ	h eː r eː d ɛ m
ɪ n s ɔ n t ɛ m	iː n s ɔ n t ɛ m
r ɛ s t ɪ t uː ɛ r ɛ	r ɛ s t ɪ t ʊ ɛ r ɛ
d ɪ s t iː n k t ʊ m	d ɪ s t ɪ ŋ k t ʊ m
p a l ɛ s t r a m	p a l aɪ s t r a m
f ɔ n t ɛ m	f ɔ n t ɛ m
t ʊ r p ɛ d ʊ m	t ɔ r p eː d ɪ n ɛ m
kʷ aː d r ʊ m	kʷ aː d r ʊ m
r aː lː ʊ m	r a lː ʊ m
a k k ɛ p t aː r ɛ	a kː ɪ p ɛ r ɛ
m a t r ɪ t ɪ d a m	m aː t r ɪ k iː d a m
g aː d ɛ	iː l ɛ
ɪ m b eː b aɪ r ɛ	ɪ m b ɪ b ɛ r ɛ
k ɔ m k uː s j ʊ m	k ɔ ŋ k ʊ sː j oː n ɛ m
a b ɔ m aː s ʊ m	a b ɔ m aː s ʊ m
ɔ m d oː r ɛ m	ɔ d oː r ɛ m
p r ɔ d ɪ g oː j j ʊ m	p r oː d ɪ g j oː s ʊ m
ɔ fː ɪ k ʊ m s j ʊ m	ɔ fː ɪ k j oː s ʊ m
iː ŋ g ɛ n j ʊ m m ʊ m	ɪ ŋ g ɛ n j oː s ʊ m
t eː n ɪ r ɛ	t ɛ n eː r ɛ
f a rː aː ɪ n ɛ	f a rː aː g ɪ n ɛ m
k uː r w aː r ɛ	k ʊ r w aː r ɛ
a m ɛ n ʊ m	a m ɔ ɪ n ʊ m
ɪ n k lː ʊ ɪ r	ɪ ŋ k l uː d ɛ r ɛ
k a l k ɛ m	k a l k ɛ m
s a r k ɪ n a m	s a r k ɪ n a m
ʊ m b r oː s ʊ m	ʊ m b r oː s ʊ m
k ɔ n w ɪ k t j oː n ɛ m	k ɔ n w iː k t j oː n ɛ m
t ʊ r m a m	t ʊ r m a m
w ɪ p ɛ r ɪ n ʊ m	w ɪ p ɛ r iː n ʊ m
f ɔ k ɛ	f aʊ k ɛ m
d ɔ r aː r ɛ	d ɛ aʊ r aː r ɛ
a t lː a n t ɪ k ʊ m	aː t l a n t ɪ k ʊ m
iː m p ɛ r t ɛ p t ɪ b lː ɛ	ɪ m p ɛ r k ɛ p t ɪ b ɪ l ɛ m
p a r t ɪ k ʊ l a m	p a r t ɪ k ʊ l a m
d aː t a m	d a t a
t r ɪ t uː r a m	t r iː t uː r a m
ɛ lː ɪ p s ɪ	ɛ lː iː p s ɪ n
r eː t eː n ɛ r ɛ	r ɛ t ɪ n eː r ɛ
k a w a l j ɛ r	k a b a lː aː r j ʊ m
d ɛ m oː n ɪ k ʊ m	d aɪ m ɔ n ɪ k ʊ m
ɛ k ʊ ŋ	ɛ kː ʊ m
l ɛ g	l eː g ɛ m
k ʊ n k a m	k ɔ ŋ kʰ a m
s ʊ b s t a n t a m	s ʊ b s t a n t j a m
n ɛ f aː s t ʊ m	n ɛ f aː s t ʊ m
s ɪ h ɪ lː aː r ɛ	s ɪ g ɪ lː aː r ɛ
ɛ s k oː a k ɛ m r ɛ	ɛ k s k ɔ kʷ ɛ r ɛ
ɔ r b ɪ m ɛ	ɔ r b ɛ m
f lː ɔ s k uː lː ʊ m	f l ɔ s k ʊ l ʊ m
ɛ s k r ɪ b a m	s k r iː b a m
g ɛ ʊ m ɛ t r j a m	g ɛ oː m ɛ t r j a m
t r a n s ɪ t ʊ m	t r aː n s ɪ t ʊ m
l a k t ɛ ʊ m	l a k t ɛu m
lː ɛ n aː r	l ɪ ŋ n aː r iː
d r aː p m ʊ m	d r a pː ʊ m
l a n k aː r ɛ	l a ŋ k ɛ aː r ɛ
p ɔ r t j ʊ m	p ɔ r t j oː n ɛ m
s ʊ s p ɛ n d ɛ r ɛ	s ʊ s p ɛ n d ɛ r ɛ
m ʊ n d aː r	m ʊ n d aː r ɛ
t r a m a m	t r aː m a m
ɛ s t uː p ɪ r ɛ	s t ʊ p eː r ɛ
k ɔ n f iː n ɛ	k ɔ n f iː n ɛ m
w j ɔ ʊ l aː r ɛ	w ɪ ɔ l aː r ɛ
k ɔ k ʊ m ɛ r ʊ m	k ʊ k ʊ m ɛ r ɛ m
l uː n aː r ɛ	l uː n aː r ɛ m
ɛ s k uː l eː n t ʊ m	eː s k ʊ l ɛ n t ʊ m
k r ʊ k ɪ f ɛ r ʊ m	k r ʊ k ɪ f ɛ r ʊ m
g ɛ r ɛ r	g ɛ r ɛ r ɛ
f a k ʊ n d ʊ m	f aː k ʊ n d ʊ m
k ɪ r k ʊ n s k r iː w ɛ r ɛ	k ɪ r k ʊ m s k r iː b ɛ r ɛ
t r a n s ɪ r ɛ	t r aː n s iː r ɛ
uː s t ʊ l aː r ɛ	ʊ s t ʊ l aː r ɛ
w ɛ s t r uː k ʊ m	s t r uː tʰ j oː n ɛ m
w ɪ t uː p ɛ r a t j oː n ɛ	w ɪ t ʊ p ɛ r aː t j oː n ɛ m
iː n s ɛ r t j oː n ɛ m	iː n s ɛ r t j oː n ɛ m
p r ʊ w ʊ k a t ɪ w ʊ m	p r oː w ɔ k aː t iː w ʊ m
s t ʊ p a m	s t ʊ pː a m
a d ɪ t j oː n ɛ	a dː ɪ t j oː n ɛ m
p ɔ s aː r ɛ	p aʊ s aː r ɛ
a m b ɪ kʷ uː ɪ t aː t ɛ m	a m b ɪ gʷ ɪ t aː t ɛ m
a t r a ɛ r ɛ	a tː r a h ɛ r ɛ
ɪ ŋ n ɛ ʊ m	ɪ ŋ n ɛu m
p n ɛ r s ɪ k a m	p ɛ r s ɪ k a m
b ɛ l aː r ɛ	b aː l aː r ɛ
m a l ɪ ŋ n ʊ m	m a l ɪ ŋ n ʊ m
b ʊ rː m a m	b ʊ rː a m
p r ɔ b ʊ m	p r ɔ b ʊ m
w ɛ t r ɪ k ɛ m	w iː t ɪ k ɛ m
p ɛ n ɪ t ɛ m t j aː l	p aɪ n ɪ t ɛ n t j aː l ɛ m
ɛ s t ɪ w a r ɛ	s t iː p aː r ɛ
f a r ɛ t r a m	pʰ a r ɛ t r a m
f ɔ r m ɛ m	f oː r m ɛ m
a g ɪ t a d ɔ r	a g ɪ t aː t oː r ɛ m
ɔ r n aː t ʊ m	oː r n aː t ʊ m
ɛ m s k uː s a t j ʊ n ɛ	ɛ k s k uː s aː t j oː n ɛ m
k uː l p aː r	k ʊ l p aː r ɛ
ɛ l ɛ f a n t ɪ n ʊ m	ɛ l ɛ pʰ a n t ɪ n ʊ m
ɪ rː ɛ g ʊ l aː r ɛ	ɪ rː eː g ʊ l aː r ɛ m
s oː r ɪ k ɛ m	s oː r ɪ k ɛ m
s ʊ b ɔ r n aː r ɛ	s ʊ b oː r n aː r ɛ
s p ɛ r aː r ɛ	s p eː r aː r ɛ
r ɛ l ɛ m w aː r ɛ	r ɛ l ɛ w aː r ɛ
ɔ n ɔ r aː r ʊ m	h ɔ n oː r aː r j ʊ m
d ɪ s ɔ n aː r ɛ	d ɪ sː ɔ n aː r ɛ
uː m ɪ d ʊ m	h uː m ɪ d ʊ m
iː n f ɔ r m ɛ m	iː n f oː r m ɛ m
m a r ɪ t a l ɛ	m a r iː t aː l ɛ m
w ɛ r ɪ t ɪ k ɛ m	w ɛ r t ɪ k ɛ m
w ɛ m t iː m ɛ n t ʊ m	w ɛ s t iː m ɛ n t ʊ m
b ʊ m ɛ r ʊ m	b uː t y r ʊ m
s a n j ɛ m	s a n ɪ ɛ m
k ɪ k ɛ	kʷ ɛ m
g uː r ɪ s p r uː d ɛ n s	j uː r ɪ s p r uː d ɛ n t j a m
w ɛ k s aː r ɛ	w eː k s aː r ɛ
ɛ w ʊ m	aɪ w ʊ m
a b ɪ g ɛ ʊ m	a b ɪ g ɛu m
k ɛ l ɪ b	k aɪ l ɪ b ɛ m
ɪ n k a r n aː r ɛ	ɪ ŋ k a r n aː r ɛ
m ɛ n d ɪ k ʊ m	m ɛ n d iː k ʊ m
p r ɔ f ɛ r ɪ r ɛ	p r oː f ɛ rː ɛ
m ɛ m b r a n ʊ m m ʊ m	m ɛ m b r aː n ɛu m
iː n s t aʊ r aː r ɛ	iː n s t aʊ r aː r ɛ
oː r k ʊ m	ɔ r k ʊ m
f ɛ rː aː t ʊ m	f ɛ rː aː t ʊ m
s uː b iː r ɛ	s ʊ b iː r ɛ
s ɛ s ʊ m	s ɛ sː ʊ m
l a b ɔ r a t oː r j ʊ m	l a b oː r aː t oː r j ʊ m
t a l p ɛ m a m	t a l p a m
k ɪ m m ɪ k ɛ m	k iː m ɪ k ɛ m
ɪ n d ʊ l ɛ m	ɪ n d ɔ l ɛ m
k r ɪ b r aː r ɛ	k r iː b r aː r ɛ
