ɪ w ʊ m	iː w ʊ m
r a d j aː t j oː n ɛ m	r a d j aː t j oː n ɛ m
ɪ n t ɛ r w ɛ n t j oː n	ɪ n t ɛ r w ɛ n t j oː n ɛ m
f ɔ r t ɛ m	f ɔ r t ɛ m
k a nː a m	k a nː a m
r ɛ s t r ɪ ŋ g ɛ r ɛ	r ɛ s t r ɪ ŋ g ɛ r ɛ
ɔ p uː s k ʊ l ʊ m	ɔ p ʊ s k ʊ l ʊ m
l ɔ k aː l ɛ	l ɔ k aː l ɛ m
w ɛ r ɛ k ʊ n d j a m	w ɛ r eː k ʊ n d j a m
t ɪ l j a m m	t eː g ʊ l a m
d ɪ s ɪ m uː l aː t j oː n ɛ m	d ɪ sː ɪ m ʊ l aː t j oː n ɛ m
b r aː k aː t ʊ m	b r aː k aː t ʊ m
b a j l ʊ m	b aː j ʊ l ʊ m
a m a r ɪ t j a m	a m aː r ɪ t ɪ ɛ m
s k ɔ r t a m	s k ɔ r t ɛ a m
l a k aː r ɛ	l a sː aː r ɛ
l uː k r aː r ɛ	l ʊ k r aː r iː
k ɔ m p aː r ɛ m t r ɛ	k ɔ m p aː r eː r ɛ
d eː t ɛ k t aː r ɛ m ɛ n	d eː t ɛ g ɛ r ɛ
uː m b r aː t iː k ʊ m	ʊ m b r aː t ɪ k ʊ m
ɪ m p ɛ t r aː r ɛ	ɪ m p ɛ t r aː r ɛ
l uː m ɪ n aː r ɛ	l uː m ɪ n aː r ɛ
p l a k ɪ d ʊ m	p l a k ɪ d ʊ m
m ɔ d ɪ r ɛ m	m ɔ l ɛ r ɛ
ɔ l ɔ r	ɔ l oː r ɛ m
r ɔ ɪ b a m	r ʊ b j a m
f r ɔ n d oː s ʊ m	f r ɔ n d oː s ʊ m
f l aː kː ʊ m	f l a kː ʊ m
m ɔ t ɪ w ʊ m	m oː t ɪ w ʊ m
ɛ k s p ɛ d j iː r ɛ m	ɛ k s p ɛ d iː r ɛ
ɛ b d ɔ m aː d a m r j ʊ m	h ɛ b d ɔ m a d aː r j ʊ m
r ɛ s t aʊ r aː r ɛ	r ɛ s t aʊ r aː r ɛ
m a d r ɛ	m aː t r ɛ m
p r aɪ g ʊ s t a m r ɛ	p r aɪ g ʊ s t aː r ɛ
k ɔ r oː n iː d ɛ	k ɔ r oː n ɪ d ɛ m
k a l ɪ k ɛ	k a l ɪ k ɛ m
ɛ k s aː l a m r ɛ	ɛ k s h aː l aː r ɛ
d ɪ s t ɛ n d ɛ r ɛ m	d ɪ s t ɛ n d ɛ r ɛ
k ɔ n k ʊ s j oː n	k ɔ ŋ k ʊ sː j oː n ɛ m
l ɪ m p ɪ d ʊ m	l ɪ m p ɪ d ʊ m
l eː t ɛ r a m	l ɪ tː ɛ r a m
j ɛ t ʊ m	j a k t ʊ m
h k ɪ	kʷ ɛ m
m ɪ r t ʊ m	m y r t ʊ m
d aː t ʊ m	d a t ʊ m
r ɛ f ɛ k t j oː n ɛ m	r ɛ f ɛ k t j oː n ɛ m
ɔ t ɔ n aː l ɛ	aʊ t ʊ m n aː l ɛ m
ɪ m p aː w ɪ d ʊ m	ɪ m p a w ɪ d ʊ m
r uː b r ɪ k a m	r ʊ b r iː k a m
b aː s ʊ m	b a sː ʊ m
p r ɛ w j ʊ m	p r aɪ w j ʊ m
k ɔ n f ɛ d ɛ r aː t j oː n ɛ m	k oː n f ɔ ɪ d ɛ r aː t j oː n ɛ m
s t r ɪ g ɛ m	s t r ɪ g ɛ m
b aː ʊ m	b a d j ʊ m
ɔ m ɪ k ɪ t a m	h ɔ m ɪ k iː d a m
ɛ k k aː r ɪ s t j a m	ɛu kʰ a r ɪ s t j a m
t r ɪ m ɛ t ɛ r ɛ	t r aː m ɪ tː ɛ r ɛ
a r g ɛ n t ʊ m	a r g ɛ n t ʊ m
m uː l ʊ m	m uː l ʊ m
s t a t ʊ ɛ r ɛ m	s t a t ʊ ɛ r ɛ
ɪ n t ɛ g r a m r ɛ	ɪ n t ɛ g r aː r ɛ
l ɪ m aː k ɛ m	l iː m aː k ɛ m
t ɔ g aː	t ɔ g a m
a m p l ɪ f iː k aː r ɛ	a m p l ɪ f ɪ k aː r ɛ
g l ɔ s a m	g l ɔ sː a m
d ɪ s k r ɪ m ɪ n aː t j oː n ɛ m	d ɪ s k r iː m ɪ n aː t j oː n ɛ m
ɪ n w ɛ n t oː r ɛ	ɪ n w ɛ n t oː r ɛ m
ɔ r d ɪ n aː r j ʊ m	oː r d ɪ n aː r j ʊ m
s t ɪ p uː l a m r ɛ	s t ɪ p ʊ l aː r iː
r ɛ g ʊ l aː r ɛ	r eː g ʊ l aː r ɛ m
d eː f ɔ r m ɪ t aː t ɛ m	d eː f oː r m ɪ t aː t ɛ m
r ɛ k ɔ rː eː r	r ɛ k ʊ rː ɛ r ɛ
l a n k ɛ r ʊ m	l a ŋ k j aː r j ʊ m
ɪ n ɔ b ɪ l ɛ m	ɪ ŋ n oː b ɪ l ɛ m
a m ɛ n ʊ m	a m ɔ ɪ n ʊ m
w ɛ n ɛ r aː t j oː n ɛ m	w ɛ n ɛ r aː t j oː n ɛ m
r ɪ k t ʊ m	r ɪ k t ʊ m
w ɛ k aː	w ɪ k j a m
a b l ʊ ɛ r ɛ	a b l ʊ ɛ r ɛ
s p uː t ʊ m	s p uː t ʊ m
d eː p ɛ n d ɛ r ɛ	d eː p ɛ n d eː r ɛ
k ɔ l ɛ k ʊ m	k aʊ l ɪ k ʊ l ʊ m
ɪ ŋ d ɪ t j ʊ m	ɪ n d ɪ k j ʊ m
s ʊ ɪ j ɛ m t ʊ m	s ʊ b ɪ ɛ k t ʊ m
b a r b aː r ɪ ɛ z aː r ɛ	b a r b a r iː zː aː r ɛ
g r aː t ʊ t ʊ m	g r aː t ʊ iː t ʊ m
f a s t ɪ t aː r ɛ	f a s t iː d iː r ɛ
f l a m a m	f l a mː a m
k ɛ r t ʊ m	k ɛ r t ʊ m
r ɛ p r ɛ ɛ n s j oː n ɛ m	r ɛ p r ɛ h ɛ n s j oː n ɛ m
k eː n t aʊ r j aː	k ɛ n t aʊ r eːa m
ɪ m b ɛ k ɪ lː ɪ t aː t ɛ m	ɪ m b eː k ɪ lː ɪ t aː t ɛ m
w a k ɪ lː a m r ɛ	w a k ɪ lː aː r ɛ
s a k r aː m ɛ n t aː l ɛ	s a k r aː m ɛ n t aː l ɛ m
d ɪ s p aː r ɪ r ɛ m	d ɪ s p a r eː r ɛ
p l aː g j aː r ɛ	p l a g j aː r ɛ
a fː aː s k ɪ n aː r ɛ m	f a s k ɪ n aː r ɛ
t ɛ r m iː t ɛ	t a r m ɪ t ɛ m
s k r ʊ t ɪ n j ʊ m	s k r uː t ɪ n j ʊ m
k ɔ m ɛ t ɛ r ɛ	k ɔ mː ɪ tː ɛ r ɛ
l a r w a m	l aː r w a m
g l ɔ r j a m r ɛ	g l oː r j aː r iː
w a g aː r ɛ	w a g aː r iː
a ʊ l ɛ m	a w j a m
s ɔ l ɪ k ɪ t aː r ɛ m	s ɔ lː ɪ k ɪ t aː r ɛ
r eː w ɛ d ɛ r ɛ	r ɛ w ɪ d eː r ɛ
s eː d uː l a m	s kʰ ɛ d ʊ l a m
s ɪ l ɪ k eː	s ɪ l ɪ k ɛ m
w ɛ l iː r ɛ	w ɛ lː ɛ r ɛ
d ɪ k t j oː n ɛ m	d ɪ k t j oː n ɛ m
r a p iː r ɛ	r a p ɛ r ɛ
k ɔ m p r ɪ m ɛ r ɛ	k ɔ m p r ɪ m ɛ r ɛ
ɪ n f ɪ r m a m r ɛ	iː n f ɪ r m aː r ɛ
s uː kː uː l eː n t ʊ m	s ʊ kː ʊ l ɛ n t ʊ m
a b ɛ t ɪ	a b ɪ eː t ɛ m
ɛ n k a n eː t ɛ r ɛ	ɪ ŋ k aː n eː s k ɛ r ɛ
ɔ kː l uː ɛ r ɛ	ɔ kː l uː d ɛ r ɛ
ʊ w a	uː w a m
r ɛ d uː k t j oː n ɛ m	r ɛ d ʊ k t j oː n ɛ m
m ɛ s ɛ m	m ɛ sː ɛ m
ɛ k s p ʊ ŋ g ɛ r ɛ m	ɛ k s p ʊ ŋ g ɛ r ɛ
k a t ɛ k ɪ s m ʊ m	k a t eː kʰ ɪ s m ʊ m
k ɔ m p r a m t oː r ɛ m	k ɔ m p a r aː t oː r ɛ m
a s eː p ʊ lː ɛ aː r ɛ m	s ɛ p ɛ l iː r ɛ
m ɔ r t aː r j ʊ m	m ɔ r t aː r j ʊ m
oː s k uː l ʊ m	oː s k ʊ l ʊ m
d ɛ p r ɛ k a m r ɛ	d eː p r ɛ k aː r iː
t eː d a m	t aɪ d a m
d ɪ m a n aː r	d iː m aː n aː r ɛ
k r aɪ s p ʊ m	k r ɪ s p ʊ m
r ɪ g ɪ d ʊ m	r ɪ g ɪ d ʊ m
t r aː b aː l	t r a b aː l ɛ m
l aː ŋ g oː r ɛ	l a ŋ gʷ oː r ɛ m
k ɔ n f ɛ s aː r	k oː n f ɪ t eː r iː
f r uː k t w oː s ʊ m	f r ʊ k t ʊ oː s ʊ m
ɔ r aː t j ʊ m n ɛ m	oː r aː t j oː n ɛ m
p uː t r ɪ r ɛ	p ʊ t r ɛ r ɛ
p r ɔ p r ʊ m	p r oː p r j ʊ m
s ɛ p ʊ l k r ʊ m	s ɛ p ʊ l k r ʊ m
k ɔ n s ɛ r w aː t j oː n ɛ m	k oː n s ɛ r w aː t j oː n ɛ m
a n ɪ m ɔ	a n ɪ m ʊ m
s p uː t aː r ɛ	s p uː t aː r ɛ
t r ɪ g ɛ s iː m ʊ m	t r iː g eː s ɪ m ʊ m
ɔ pː r ɪ m ɛ r	ɔ pː r ɪ m ɛ r ɛ
ɪ rː ɔ g a m r ɛ	ɪ rː ɔ g aː r ɛ
ɪ n k ɛ n d ɛ r ɛ	ɪ ŋ k ɛ n d ɛ r ɛ
r ɪ n ɛ	r eː n ɛ m
w ɛ r ɛ k ʊ n d ʊ m	w ɛ r eː k ʊ n d ʊ m
d eː n ʊ n ʊ m a m t j aː t ɛ m n	d eː n ʊ n t j aː t j oː n ɛ m
w ɔ s ɪ f eː r aː r ɛ	w oː k ɪ f ɛ r aː r iː
n ɔ r m a m	n oː r m a m
m a l ɛ d ɪ k ɛ r ɛ m	m a l ɛ d iː k ɛ r ɛ
k a s t r aː t ʊ m	k a s t r aː t ʊ m
m ɪ t ɪ g aː t j oː n ɛ m	m iː t ɪ g aː t j oː n ɛ m
l ɪ b ɛ r aː t j oː n ɛ m	l iː b ɛ r aː t j oː n ɛ m
a m ɛ n t ʊ m	aː m ɛ n t ʊ m
a n ɪ k ɪ l aː t j oː n ɛ m	a nː ɪ h ɪ l aː t j oː n ɛ m
a dː ɪ k ʊ r ɛ	a dː iː k ɛ r ɛ
n a s aː	n a sː a m
w ɛ n d eː m j a m	w iː n d eː m j a m
t r ɪ b uː t ʊ m	t r ɪ b uː t ʊ m
d ɛ s p l ɛ g aː r ɛ	d ɪ s p l ɪ k aː r ɛ
r uː g ɔ s ʊ m	r uː g oː s ʊ m
n uː t ʊ m	n uː t ʊ m
k ɔ l uː d ɛ r ɛ	k ɔ lː uː d ɛ r ɛ
s a b j ʊ m m ɛ m	s a b ʊ l oː n ɛ m
k ɛ r b a m	k ɛ r w a m
a b ɔ m aː s ʊ m	a b ɔ m aː s ʊ m
ɪ m p ɛ r aː r ɛ	ɪ m p ɛ r aː r ɛ
s aː b l ʊ m	s a b ʊ l ʊ m
a pː a r aː r ɛ	a pː aː r eː r ɛ
d ɛ s k ɛ ŋ d ɛ r ɛ	d eː s k ɛ n d ɛ r ɛ
k uː l t oː r ɛ	k ʊ l t oː r ɛ m
a tː ɪ ŋ g ɛ r ɛ	a tː ɪ ŋ g ɛ r ɛ
b uː rː ʊ m	b ʊ rː ɪ k ʊ m
k a m p j ɛ oː n ɛ m	k a m p j oː n ɛ m
r oː t aː r ɛ	r ʊ k t aː r ɛ
a n s a m	aː n s a m
k ɛ r w ʊ j a m	k ɛ r w ɛ s j a m
m ɪ ŋ g ɛ r ɛ	m ɪ ŋ g ɛ r ɛ
b ɪ b l j ɔ t ɛ m k aː r j ʊ m	b ɪ b l ɪ ɔ tʰ eː k aː r j ʊ m
a s t uː t ʊ m	a s t uː t ʊ m
ɔ r ɪ g ɪ n ɛ	ɔ r iː g ɪ n ɛ m
m a n k ɪ p aː m j oː	m a ŋ k ɪ p j ʊ m
t oː n ɛ m	t j oː n ɛ m
b a l t ɪ k ʊ m	b a l t ɪ k ʊ m
b a s ɛ	b a s ɛ m
p ɔ r n oː g r aː f j a m	p ɔ r n ɔ g r a pʰ j a m
f eː r j a m	f eː r j aː s
p eː kʰ aː r ɛ	p ɛ kː aː r ɛ
m a n ɪ p ʊ l ʊ m	m a n ɪ p ʊ l ʊ m
k a r aː k t ɛ m r ɛ	kʰ a r a k t eː r ɛ m
s kʷ aː l ɪ d ʊ m	s kʷ aː l ɪ d ʊ m
a n t ɛ n a m	a n t ɛ nː a m
f ɪ k ʊ m	f iː k ʊ m
ɪ ɔ	ɛu m
k eː m ɛ n t ʊ m	k aɪ m ɛ n t ʊ m
p r ɔ p ɪ n kʷ ɪ t aː t ɛ m	p r ɔ p ɪ ŋ kʷ ɪ t aː t ɛ m
l a m b r uː s k a m	l aː b r ʊ s k a m
k ɔ n t r ɛ m aː w ɛ m n ɪ r	k ɔ n t r aː w ɛ n iː r ɛ
s a l aː r j ʊ m	s a l aː r j ʊ m
l a b ʊ r aː r ɛ	l a b oː r aː r ɛ
f l ɔ r ɪ r ɛ	f l oː r eː r ɛ
ɛ k s p l a m n a m t j oː n	ɛ k s p l aː n aː t j oː n ɛ m
a m p l ɪ f iː k aː t j oː n	a m p l ɪ f ɪ k aː t j oː n ɛ m
eː kʷ ɪ l ɪ b r j ʊ m	aɪ kʷ ɪ l iː b r j ʊ m
k ɪ r k ʊ l aː r ɛ	k ɪ r k ʊ l aː r ɛ
l uː k uː b a m t j oː n	l uː k ʊ b r aː t j oː n ɛ m
w ɔ m ɪ t aː r ɛ	w ɔ m ɪ t aː r ɛ
d ɪ fː aː m aː r ɛ	d ɪ fː aː m aː r ɛ
k a r ɛ t eː r	k a r eː r ɛ
m ɛ n d ɪ k aː r ɛ	m ɛ n d iː k aː r ɛ
d ɛ k ɪ m aː t j ʊ m n ɛ m	d ɛ k ɪ m aː t j oː n ɛ m
a m ɔ w ɪ b ɪ l ɛ	aː m ɔ w eː r ɛ
w ɪ g ɔ r aː r ɛ	w ɪ g oː r aː r ɛ
ɪ ŋ ɪ ɛ r iː r ɛ	ɪ ŋ g ɛ r ɛ r ɛ
f ɔ m ɛ n t ʊ m	f oː m ɛ n t ʊ m
d aɪ k iː m aː r ɛ	d ɛ k ɪ m aː r ɛ
f ɔ n t aː n a m	f ɔ n t aː n a m
r eː k ɛ n ɛ ɛ	r ɛ k ɛ n t ɛ m
r ɛ f l ɛ t ɛ r ɛ	r ɛ f l ɛ k t ɛ r ɛ
s ɪ r p ʊ m	s k ɪ r p ʊ m
d eː t ɛ s t aː r ɛ	d eː t ɛ s t aː r iː
m ɔ d ɪ k ʊ m	m ɔ d ɪ k ʊ m
d a m ɛ b uː l aː t j oː n ɛ m	d ɛ a m b ʊ l aː t j oː n ɛ m
kʷ ɔ t ɪ d j a m n ʊ m	kʷ ɔ t iː d j aː n ʊ m
k a n d ɔ	k a n d oː r ɛ m
s uː b ɪ t ʊ m	s ʊ b ɪ t ʊ m
k aː l aː r ɛ	k ɔ aː g ʊ l aː r ɛ
a l ɛ aː	aː l ɛ a m
t a l ʊ t	t aː l ʊ m
ɪ n s ɛ r t j oː n ɛ m	iː n s ɛ r t j oː n ɛ m
r ɛ l ɪ k j a m	r ɛ l ɪ kʷ ʊ m
b a r d ʊ m	b a r d ʊ m
m ɛ s uː r aː r ɛ	m eː n s uː r aː r ɛ
n ʊ m ɛ r ʊ m	n ʊ m ɛ r ʊ m
a n w ʊ m	a nː ʊː m
k ɔ l aʊ d a m r ɛ	k ɔ lː aʊ d aː r ɛ
d ɪ s w aː d ɛ r ɛ m	d ɪ sː w aː d eː r ɛ
ɪ n s t r uː iː r ɛ	iː n s t r ʊ ɛ r ɛ
p ɔ s t r iː b ʊ l ʊ m	p r oː s t ɪ b ʊ l ʊ m
a g r ɛ s t ɛ m	a g r ɛ s t ɛ m
p r j ɔ r ɛ	p r j oː r ɛ m
r uː g a m	r uː g a m
ɛ k s aː m ɪ n aː r ɛ m	ɛ k s aː m ɪ n aː r ɛ
n ɛ f a n d ʊ m	n ɛ f a n d ʊ m
eː l uː ɛ r	eː l ʊ ɛ r ɛ
k ɔ n s ɔ lː aː r	k oː n s oː l aː r iː
p r uː d ɛ n t j a m	p r uː d ɛ n t j a m
ɪ m p uː l s ʊ m	ɪ m p ʊ l s ʊ m
