ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
2893	Shuizhuping	2S	ĩ⁵³	ĩ⁵³	ĩ ⁵³	93
2894	Diaocao	2S	ni⁵⁵	ni⁵⁵	n i ⁵⁵	92
2895	Xuzhang	2S	ɲi⁴⁵³	ɲi⁴⁵³	ɲ i ⁴⁵³	92
2896	Mangdi	2S	ni⁵⁵	ni⁵⁵	n i ⁵⁵	92
2897	Yijiacun	2S	ni²⁴	ni²⁴	n i ²⁴	92
2898	Yangliu	2S	ni³³	ni³³	n i ³³	92
4444	ProtoLalo	3PL	ʒaŋ³tsa³	ʒaŋ³tsa³	ʒ a ŋ ³ + ts a ³	103 102
4445	Qingyun	3PL	wu³³tsa³³	wu³³tsa³³	w u ³³ + ts a ³³	104 102
4446	Shuizhuping	3PL	u³³tsa³³	u³³tsa³³	u ³³ + ts a ³³	105 102
4447	Diaocao	3PL	ja³³tsɔ³³	ja³³tsɔ³³	j a ³³ + ts ɔ ³³	101 102
4448	ProtoLalo	3PL	(ʒ)aŋ²/³	aŋ²	a ŋ ²	103
4449	Mangdi	3PL	jɛ²¹xɨ³³	jɛ²¹xɨ³³	j ɛ ²¹ + x ɨ ³³	101 102
4450	Yijiacun	3PL	ɛ²¹so³³	ɛ²¹so³³	ɛ ²¹ + s o ³³	105 102
4451	Yangliu	3PL	ja²¹	ja²¹	j a ²¹	101
4436	ProtoLalo	3S	(ʒ)aŋ²/³	aŋ²	a ŋ ²	117
4437	Qingyun	3S	wu³³	wu³³	w u ³³	118
4438	Shuizhuping	3S	ʐu³³	ʐu³³	ʐ u ³³	119
4439	Diaocao	3S	ja³³	ja³³	j a ³³	116
4440	Xuzhang	3S	ja³³	ja³³	j a ³³	116
4441	Mangdi	3S	jɛ²¹	jɛ²¹	j ɛ ²¹	116
4442	Yijiacun	3S	ɛ²¹	ɛ²¹	ɛ ²¹	120
4443	Yangliu	3S	ja³³	ja³³	j a ³³	116
3814	ProtoLalo	3SR (another)	su¹	su¹	s u ¹	127
3815	Qingyun	3SR (another)	sɿ⁵⁵,tse⁵⁵ɣɨ²¹	sɿ⁵⁵	s ɿ ⁵⁵	127
3816	Shuizhuping	3SR (another)	ka²¹se³³	ka²¹se³³	k a ²¹ + s e ³³	125 127
3817	Diaocao	3SR (another)	kə⁵⁵lə²¹sə⁵⁵	kə⁵⁵lə²¹sə⁵⁵	k ə ⁵⁵ + l ə ²¹ + s ə ⁵⁵	125 126 127
3818	Mangdi	3SR (another)	su⁵⁵, tɕʰi²¹dzə⁵⁵ma⁵⁵	su⁵⁵	s u ⁵⁵	127
3819	Yijiacun	3SR (another)	ɛ²¹wai²⁴tɕʰio⁵³	ɛ²¹wai²⁴tɕʰio⁵³	ɛ ²¹ + w ai ²⁴ + tɕʰ i/j o ⁵³	130 131 128
3820	Yangliu	3SR (another)	piɛ³³ni³³su³³	piɛ³³ni³³su³³	p i/j ɛ ³³ + n i ³³ + s u ³³	128 129 127
2930	ProtoLalo	Autonym	la²lo̠Hpa̠ᶫ	la²lo̠Hpa̠ᶫ	l a ² + l o̠ H/¹ + p a̠ ᶫ/³	140 141 142
2931	Qingyun	Autonym	la̠²¹ʔlo̠³³pa̠²¹	la̠²¹ʔlo̠³³pa̠²¹	l a̠ ²¹ + ˀl o̠ ³³ + p a̠ ²¹	140 141 142
2932	Shuizhuping	Autonym	la²¹lu³³pa⁵³	la²¹lu³³pa⁵³	l a ²¹ + l u ³³ + p a ⁵³	140 141 142
2933	Diaocao	Autonym	la⁴²lu³³pu⁴²	la⁴²lu³³pu⁴²	l a ⁴² + l u ³³ + p u ⁴²	140 141 142
2934	Xuzhang	Autonym	la²¹lu⁴⁴	la²¹lu⁴⁴	l a ²¹ + l u ⁴⁴	140 141
2935	Mangdi	Autonym	lo²¹lo³³pɑ̠²¹	lo²¹lo³³pɑ̠²¹	l o ²¹ + l o ³³ + p ɑ̠ ²¹	140 141 142
2936	Yijiacun	Autonym	o²¹kʰa²⁴	o²¹kʰa²⁴	o ²¹ + kʰ a ²⁴	143 144
2937	Yangliu	Autonym	la²¹lu⁴⁵³	la²¹lu⁴⁵³	l a ²¹ + l u ⁴⁵³	140 141
2938	ProtoLalo	Autonym	la²lo̠Hpa̠ᶫ	la²lo̠Hpa̠ᶫ	l a ² + l o̠ H/¹ + p a̠ ᶫ/³	140 141 142
2939	Qingyun	Autonym	la̠²¹ʔlo̠³³pa̠²¹	la̠²¹ʔlo̠³³pa̠²¹	l a̠ ²¹ + ˀl o̠ ³³ + p a̠ ²¹	140 141 142
2940	Shuizhuping	Autonym	la²¹lu³³pa⁵³	la²¹lu³³pa⁵³	l a ²¹ + l u ³³ + p a ⁵³	140 141 142
2941	Diaocao	Autonym	la⁴²lu³³pu⁴²	la⁴²lu³³pu⁴²	l a ⁴² + l u ³³ + p u ⁴²	140 141 142
2942	Xuzhang	Autonym	la²¹lu³³	la²¹lu³³	l a ²¹ + l u ³³	140 141
2943	Yijiacun	Autonym	o²¹kʰa²⁴	o²¹kʰa²⁴	o ²¹ + kʰ a ²⁴	143 144
2944	Yangliu	Autonym	la²¹lu⁴⁵³	la²¹lu⁴⁵³	l a ²¹ + l u ⁴⁵³	140 141
1849	ProtoLalo	BIG	ɣɛ²	ɣɛ²	ɣ ɛ ²	180
1850	Qingyun	BIG	vɛ̤²¹	vɛ̤²¹	v ɛ̤ ²¹	181
1851	Shuizhuping	BIG	ɣɛ˞²¹	ɣɛ˞²¹	ɣ ɛ˞/ɛ ²¹	180
1852	Diaocao	BIG	ɣɛ²¹	ɣɛ²¹	ɣ ɛ ²¹	180
1853	Xuzhang	BIG	ɣɛ˞²¹	ɣɛ˞²¹	ɣ ɛ˞/ɛ ²¹	180
1854	Mangdi	BIG	ʝɛ²¹	ʝɛ²¹	ʝ ɛ ²¹	180
1855	Yijiacun	BIG	ʝɛ²¹	ʝɛ²¹	ʝ ɛ ²¹	180
1856	Yangliu	BIG	ɣɛ˞²¹	ɣɛ˞²¹	ɣ ɛ˞/ɛ ²¹	180
6520	Qingyun	Bai	la̤²¹bʉ̤²¹	la̤²¹bʉ̤²¹	l a̤ ²¹ + b ʉ̤ ²¹	189 190
6521	Shuizhuping	Bai	a²¹pa⁴⁴ni²¹	a²¹pa⁴⁴ni²¹	a ²¹ + p a ⁴⁴ + n i ²¹	191 190 192
6522	Diaocao	Bai	la̤²¹bə²¹	la̤²¹bə²¹	l a̤ ²¹ + b ə ²¹	189 190
6523	Xuzhang	Bai	a³³pɛi³³	a³³pɛi³³	a ³³ + p ɛi ³³	191 190
6524	Yangliu	Bai	la²¹bi²¹	la²¹bi²¹	l a ²¹ + b i ²¹	189 190
6357	ProtoLalo	CLF.times	pʰo̠H	pʰo̠H	pʰ o̠ H/¹	202
6358	Qingyun	CLF.times	pʰo³³	pʰo³³	pʰ o ³³	202
6359	Shuizhuping	CLF.times	pʰa³³	pʰa³³	pʰ a ³³	202
6360	Diaocao	CLF.times	tɕa²¹	tɕa²¹	tɕ a ²¹	201
6361	Xuzhang	CLF.times	po³³	po³³	p o ³³	202
6362	Mangdi	CLF.times	tə⁵⁵	tə⁵⁵	t ə ⁵⁵	201
6363	Yijiacun	CLF.times	tʰi²¹po³³	tʰi²¹po³³	tʰ i ²¹ + p o ³³	201 202
6364	Yangliu	CLF.times	a²¹po⁵³	a²¹po⁵³	a ²¹ + p o ⁵³	203 202
5082	ProtoLalo	DEEP	ʔne̠ᶫ	ʔne̠ᶫ	ˀn e̠ ᶫ/³	212
5083	Qingyun	DEEP	nɛ̠²¹	nɛ̠²¹	n ɛ̠ ²¹	212
5084	Shuizhuping	DEEP	nɛʔ⁵³	nɛʔ⁵³	n ɛ ʔ ⁵³	212
5085	Diaocao	DEEP	nei⁴²	nei⁴²	n ei ⁴²	212
5086	Mangdi	DEEP	nɛ̠²¹	nɛ̠²¹	n ɛ̠ ²¹	212
5087	Yijiacun	DEEP	ni̠²¹	ni̠²¹	n i̠ ²¹	212
5088	Yangliu	DEEP	nai⁵³	nai⁵³	n ai ⁵³	212
6525	Qingyun	Dai	tai²¹⁴	tai²¹⁴	t ai ²¹⁴	222
6526	Xuzhang	Dai	pɛ˞⁵⁵ʝi⁵⁵	pɛ˞⁵⁵ʝi⁵⁵	p ɛ˞/ɛ ⁵⁵ + ʝ i ⁵⁵	220 223
6527	Mangdi	Dai	pɛ⁵⁵pɑ̠²¹	pɛ⁵⁵pɑ̠²¹	p ɛ ⁵⁵ + p ɑ̠ ²¹	220 221
6528	Yijiacun	Dai	bai²⁴	bai²⁴	b ai ²⁴	220
6529	Yangliu	Dai	bɛ˞⁵⁵ji⁵³	bɛ˞⁵⁵ji⁵³	b ɛ˞/ɛ ⁵⁵ + j i ⁵³	220 224
1311	ProtoLalo	EXIST; to be	dʒe̠H	dʒe̠H	dʒ e̠ H/¹	229
1312	Qingyun	EXIST; to be	dʑɛ̠³³	dʑɛ̠³³	dʑ ɛ̠ ³³	229
1313	Shuizhuping	EXIST; to be	dʐɛ⁴⁴	dʐɛ⁴⁴	ɖʐ ɛ ⁴⁴	229
1314	Diaocao	EXIST; to be	dza²⁴	dza²⁴	dz a ²⁴	229
1315	Mangdi	EXIST; to be	dza³³	dza³³	dz a ³³	229
1316	Yijiacun	EXIST; to be	dzaŋ³⁵³ŋa³³	dzaŋ³⁵³ŋa³³	dz a ŋ ³⁵³ + ŋ a ³³	229 230
1317	Yangliu	EXIST; to be	dzɿ⁵⁵	dzɿ⁵⁵	dz ɿ ⁵⁵	229
4253	ProtoLalo	FAR	vi²	vi²	v i ²	238
4254	Qingyun	FAR	ʝi²¹	ʝi²¹	ʝ i ²¹	239
4255	Shuizhuping	FAR	ʝi²¹	ʝi²¹	ʝ i ²¹	239
4256	Diaocao	FAR	vei²¹	vei²¹	v ei ²¹	238
4257	Xuzhang	FAR	ʝi²¹	ʝi²¹	ʝ i ²¹	239
4258	Mangdi	FAR	və²¹	və²¹	v ə ²¹	238
4259	Yijiacun	FAR	mi²⁴vu²¹	mi²⁴vu²¹	m i ²⁴ + v u ²¹	240 238
4260	Yangliu	FAR	vai²¹	vai²¹	v ai ²¹	238
2909	ProtoLalo	FEW	ne²	ne²	n e ²	248
2910	Qingyun	FEW	ʔni̤²¹	ʔni̤²¹	ˀn i̤ ²¹	248
2911	Shuizhuping	FEW	hẽ⁴⁴ma²¹tʂʰʅ²¹	hẽ⁴⁴ma²¹tʂʰʅ²¹	h ẽ ⁴⁴ + m a ²¹ + ʈʂʰ ʅ ²¹	249 250 251
2912	Diaocao	FEW	nei²¹	nei²¹	n ei ²¹	248
2913	Xuzhang	FEW	nɛi²¹	nɛi²¹	n ɛi ²¹	248
2914	Mangdi	FEW	nɛ²¹	nɛ²¹	n ɛ ²¹	248
2915	Yijiacun	FEW	saŋ⁵⁵la²¹	saŋ⁵⁵la²¹	s a ŋ ⁵⁵ + l a ²¹	253 254
2916	Yangliu	FEW	ai²¹	ai²¹	ai ²¹	252
6978	ProtoLalo	GP father	a¹tsu²	a¹tsu²	a ¹ + ts u ²	260 264
6979	Qingyun	GP father	a⁵⁵ku³³	a⁵⁵ku³³	a ⁵⁵ + k u ³³	260 264
6980	Shuizhuping	GP father	a⁵⁵tsu²¹	a⁵⁵tsu²¹	a ⁵⁵ + ts u ²¹	260 264
6981	Diaocao	GP father	a³³ma²¹	a³³ma²¹	a ³³ + m a ²¹	260 261
6982	Xuzhang	GP father	a³⁵ma²¹	a³⁵ma²¹	a ³⁵ + m a ²¹	260 261
6983	Mangdi	GP father	a²¹po⁵⁵liŋ⁵⁵	a²¹po⁵⁵liŋ⁵⁵	a ²¹ + p o ⁵⁵ + l i ŋ ⁵⁵	260 262 263
6984	Yijiacun	GP father	a²⁴po²⁴leŋ⁵³	a²⁴po²⁴leŋ⁵³	a ²⁴ + p o ²⁴ + l e ŋ ⁵³	260 262 263
6985	Yangliu	GP father	a⁵⁵tsu²¹pa⁵³	a⁵⁵tsu²¹pa⁵³	a ⁵⁵ + ts u ²¹ + p a ⁵³	260 264 262
6666	ProtoLalo	GP mother	a¹maŋ²/tʰe¹	a¹maŋ²	a ¹ + m a ŋ ²	280 283
6667	Qingyun	GP mother	a⁵⁵mu²¹	a⁵⁵mu²¹	a ⁵⁵ + m u ²¹	280 283
6668	Shuizhuping	GP mother	a⁴⁴tʰai⁴⁴	a⁴⁴tʰai⁴⁴	a ⁴⁴ + tʰ ai ⁴⁴	280 281
6669	Diaocao	GP mother	a²¹tʰei⁵⁵	a²¹tʰei⁵⁵	a ²¹ + tʰ ei ⁵⁵	280 281
6670	Xuzhang	GP mother	a³⁵ma²¹	a³⁵ma²¹	a ³⁵ + m a ²¹	280 283
6671	Mangdi	GP mother	a²¹pʰi²¹liŋ⁵⁵	a²¹pʰi²¹liŋ⁵⁵	a ²¹ + pʰ i ²¹ + l i ŋ ⁵⁵	280 282 283
6672	Yijiacun	GP mother	a²⁴pʰi²¹leŋ⁵³	a²⁴pʰi²¹leŋ⁵³	a ²⁴ + pʰ i ²¹ + l e ŋ ⁵³	280 282 283
6673	Yangliu	GP mother	a⁵⁵tsu²¹ma³³	a⁵⁵tsu²¹ma³³	a ⁵⁵ + ts u ²¹ + m a ³³	280 281 283
6674	ProtoLalo	GP mother	a¹maŋ²/tʰe¹	a¹maŋ²	a ¹ + m a ŋ ²	280 283
6675	Shuizhuping	GP mother	a⁴⁴tʰai⁴⁴	a⁴⁴tʰai⁴⁴	a ⁴⁴ + tʰ ai ⁴⁴	280 281
6676	Xuzhang	GP mother	a³⁵ma²¹	a³⁵ma²¹	a ³⁵ + m a ²¹	280 283
6677	Yijiacun	GP mother	a²⁴pʰi²¹leŋ⁵³	a²⁴pʰi²¹leŋ⁵³	a ²⁴ + pʰ i ²¹ + l e ŋ ⁵³	280 282 283
6678	Yangliu	GP mother	a⁵⁵tsu²¹ma³³	a⁵⁵tsu²¹ma³³	a ⁵⁵ + ts u ²¹ + m a ³³	280 281 283
3311	ProtoLalo	God	ɣi¹sa¹	ɣi¹sa¹	ɣ i ¹ + s a ¹	316 313
3312	Qingyun	God	n̩²¹ɕi⁵⁵	n̩²¹ɕi⁵⁵	n̩ ²¹ + ɕ i ⁵⁵	317 313
3313	Shuizhuping	God	n̩²¹dɛ²¹ɣɨ²⁴sa³⁴	n̩²¹dɛ²¹ɣɨ²⁴sa³⁴	n̩ ²¹ + d ɛ ²¹ + ɣ ɨ ²⁴ + s a ³⁴	317 315 316 313
3314	Mangdi	God	i⁵⁵sɛ³³mo³³tso³³	i⁵⁵sɛ³³mo³³tso³³	i ⁵⁵ + s ɛ ³³ + m o ³³ + ts o ³³	312 313 314 315
3315	Yijiacun	God	ɣɨ²⁴so²⁴	ɣɨ²⁴so²⁴	ɣ ɨ ²⁴ + s o ²⁴	316 313
3316	Yangliu	God	ɣɨ³³sɛ˞³³	ɣɨ³³sɛ˞³³	ɣ ɨ ³³ + s ɛ˞/ɛ ³³	316 313
3317	ProtoLalo	God	ɣi¹sa¹	ɣi¹sa¹	ɣ i ¹ + s a ¹	316 313
3318	Qingyun	God	n̩²¹ɕi⁵⁵	n̩²¹ɕi⁵⁵	n̩ ²¹ + ɕ i ⁵⁵	317 313
3319	Shuizhuping	God	n̩²¹dɛ²¹ɣɨ²⁴sa³⁴	n̩²¹dɛ²¹ɣɨ²⁴sa³⁴	n̩ ²¹ + d ɛ ²¹ + ɣ ɨ ²⁴ + s a ³⁴	317 315 316 313
3320	Mangdi	God	i⁵⁵sɛ³³mo³³tso³³	i⁵⁵sɛ³³mo³³tso³³	i ⁵⁵ + s ɛ ³³ + m o ³³ + ts o ³³	312 313 314 315
3321	Yijiacun	God	ɣɨ²⁴so²⁴	ɣɨ²⁴so²⁴	ɣ ɨ ²⁴ + s o ²⁴	316 313
3322	Yangliu	God	ɣɨ³³sɛ˞³³	ɣɨ³³sɛ˞³³	ɣ ɨ ³³ + s ɛ˞/ɛ ³³	316 313
1040	ProtoLalo	HEAVY	li²	li²	l i ²	345
1041	Qingyun	HEAVY	ʐʅ²¹,kɨ⁵⁵ɲi⁵⁵	ʐʅ²¹	ʐ ʅ ²¹	347
1042	Shuizhuping	HEAVY	ʝi²¹	ʝi²¹	ʝ i ²¹	347
1043	Diaocao	HEAVY	li²¹	li²¹	l i ²¹	345
1044	Xuzhang	HEAVY	ʐʅ²¹	ʐʅ²¹	ʐ ʅ ²¹	347
1045	Mangdi	HEAVY	wu⁵⁵lu²¹	wu⁵⁵lu²¹	w u ⁵⁵ + l u ²¹	346 345
1046	Yijiacun	HEAVY	lɨ²¹	lɨ²¹	l ɨ ²¹	345
1047	Yangliu	HEAVY	ʝi²¹	ʝi²¹	ʝ i ²¹	347
366	ProtoLalo	HIGH	ʔmu¹	ʔmu¹	ˀm u ¹	356
367	Qingyun	HIGH	ə⁵⁵	ə⁵⁵	ə ⁵⁵	355
368	Shuizhuping	HIGH	ɨ̃²⁴	ɨ̃²⁴	ɨ̃ ²⁴	355
369	Diaocao	HIGH	ɤ̪̪̃⁵⁵	ɤ̪̪̃⁵⁵	ɤ̪˞̃/ɤ̃ ⁵⁵	355
370	Xuzhang	HIGH	ɨ̃⁴⁵³	ɨ̃⁴⁵³	ɨ̃ ⁴⁵³	355
371	Mangdi	HIGH	mu⁵⁵	mu⁵⁵	m u ⁵⁵	356
372	Yijiacun	HIGH	mu²⁴	mu²⁴	m u ²⁴	356
373	Yangliu	HIGH	õ³³	õ³³	õ ³³	355
549	Shuizhuping	HOW BIG?	a³³ma³³sɿ²¹ɣɛ˞²¹	a³³ma³³sɿ²¹ɣɛ˞²¹	a ³³ + m a ³³ + s ɿ ²¹ + ɣ ɛ˞/ɛ ²¹	364 365 366 367
550	Xuzhang	HOW BIG?	a²¹dɨ²⁴mo³³si²¹ɣɛ˞²¹	a²¹dɨ²⁴mo³³si²¹ɣɛ˞²¹	a ²¹ + d ɨ ²⁴ + m o ³³ + s i ²¹ + ɣ ɛ˞/ɛ ²¹	364 368 365 366 367
551	Yangliu	HOW BIG?	kʰa³³kʰɨ³³ɣɛ˞²¹dzɛ˞³³	kʰa³³kʰɨ³³ɣɛ˞²¹dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + ɣ ɛ˞/ɛ ²¹ + dz ɛ˞/ɛ ³³	369 370 367 366
552	Shuizhuping	HOW DEEP?	a³³ma³³sɿ²¹nɛ⁵³	a³³ma³³sɿ²¹nɛ⁵³	a ³³ + m a ³³ + s ɿ ²¹ + n ɛ ⁵³	378 379 380 381
553	Yangliu	HOW DEEP?	kʰa³³kʰɨ³³nai⁵³dzɛ˞³³	kʰa³³kʰɨ³³nai⁵³dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + n ai ⁵³ + dz ɛ˞/ɛ ³³	382 383 381 380
546	Shuizhuping	HOW FAR?	a³³ma³³sɿ²¹ʝi²¹	a³³ma³³sɿ²¹ʝi²¹	a ³³ + m a ³³ + s ɿ ²¹ + ʝ i ²¹	387 388 389 390
547	Xuzhang	HOW FAR?	a²¹dɨ²⁴mo³³si²¹ʝi²¹	a²¹dɨ²⁴mo³³si²¹ʝi²¹	a ²¹ + d ɨ ²⁴ + m o ³³ + s i ²¹ + ʝ i ²¹	387 391 388 389 390
548	Yangliu	HOW FAR?	kʰa³³kʰɨ³³vai²¹dzɛ˞³³	kʰa³³kʰɨ³³vai²¹dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + v ai ²¹ + dz ɛ˞/ɛ ³³	392 393 394 389
554	Xuzhang	HOW HEAVY?	a²¹dɨ²⁴mo³³si²¹ʐʅ²¹	a²¹dɨ²⁴mo³³si²¹ʐʅ²¹	a ²¹ + d ɨ ²⁴ + m o ³³ + s i ²¹ + ʐ ʅ ²¹	401 402 403 404 405
555	Yangliu	HOW HEAVY?	kʰa³³kʰɨ³³ʝi²¹dzɛ˞³³	kʰa³³kʰɨ³³ʝi²¹dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + ʝ i ²¹ + dz ɛ˞/ɛ ³³	406 407 404 402
538	Shuizhuping	HOW HIGH?	a³³ma³³sɿ²¹õ²⁴	a³³ma³³sɿ²¹õ²⁴	a ³³ + m a ³³ + s ɿ ²¹ + õ ²⁴	411 412 413 414
539	Xuzhang	HOW HIGH?	a²¹dɨ²⁴mo³³si²¹ɨ̃⁴⁵³	a²¹dɨ²⁴mo³³si²¹ɨ̃⁴⁵³	a ²¹ + d ɨ ²⁴ + m o ³³ + s i ²¹ + ɨ̃ ⁴⁵³	411 415 412 413 414
540	Yangliu	HOW HIGH?	kʰa³³kʰɨ³³õ³³dzɛ˞³³	kʰa³³kʰɨ³³õ³³dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + õ ³³ + dz ɛ˞/ɛ ³³	416 417 411 413
541	Shuizhuping	HOW LONG?	a³³ma³³sɿ²¹ʂʅ²⁴	a³³ma³³sɿ²¹ʂʅ²⁴	a ³³ + m a ³³ + s ɿ ²¹ + ʂ ʅ ²⁴	425 426 427 428
542	Xuzhang	HOW LONG?	a²¹dɨ²⁴mo³³si²¹ʂʅ⁴⁵³	a²¹dɨ²⁴mo³³si²¹ʂʅ⁴⁵³	a ²¹ + d ɨ ²⁴ + m o ³³ + s i ²¹ + ʂ ʅ ⁴⁵³	425 429 426 427 428
543	Yangliu	HOW LONG?	kʰa³³kʰɨ³³sɿ³³dzɛ˞³³	kʰa³³kʰɨ³³sɿ³³dzɛ˞³³	kʰ a ³³ + kʰ ɨ ³³ + s ɿ ³³ + dz ɛ˞/ɛ ³³	430 431 427 428
